,TEAM,WLPCT,MATCHUP,FGM,FGA,FGPCT,FG3M,FG3A,FG3PCT,FTM,FTA,FTPCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PM
0,DAL,0.609756098,0.56097561,36.90243902,80.43902439,0.459756098,6.487804878,17.02439024,0.367512195,18.26829268,22.87804878,0.800682927,9.951219512,30.31707317,40.26829268,20.53658537,6.829268293,5.487804878,14.17073171,23.3902439,98.56097561,3
0,DEN,0.585365854,0.43902439,36.87804878,84.34146341,0.43697561,6.341463415,17.75609756,0.353219512,18.90243902,25.80487805,0.72797561,12.48780488,31.68292683,44.17073171,24.2195122,6.536585366,6.902439024,13.53658537,22.7804878,99,-0.390243902
0,GSW,0.317073171,0.512195122,36.2195122,84.90243902,0.42795122,3.853658537,12.46341463,0.298682927,19.19512195,26.53658537,0.72595122,14.70731707,29.6097561,44.31707317,22.12195122,9.024390244,4.536585366,16.63414634,22.04878049,95.48780488,-5.536585366
0,HOU,0.487804878,0.536585366,35.19512195,78.14634146,0.451243902,6.414634146,17.34146341,0.362121951,19.17073171,25.04878049,0.769195122,11.14634146,29.6097561,40.75609756,19.29268293,7.048780488,4.12195122,15.07317073,21.43902439,95.97560976,0.43902439
0,LAC,0.317073171,0.487804878,34.24390244,79.04878049,0.434756098,4,13,0.300170732,17.82926829,26.29268293,0.680463415,12.92682927,31.34146341,44.26829268,18.2195122,6.12195122,6.073170732,17.04878049,22.87804878,90.31707317,-3.804878049
0,LAL,0.658536585,0.43902439,38.87804878,82.29268293,0.473170732,5.658536585,16.19512195,0.351073171,17.87804878,27.73170732,0.644195122,13.09756098,31.09756098,44.19512195,23.07317073,6.463414634,6.268292683,14.02439024,22.90243902,101.2926829,3.292682927
0,MEM,0.268292683,0.414634146,35.04878049,80.53658537,0.437073171,3.658536585,11.31707317,0.31704878,18.31707317,23.73170732,0.771170732,11,30.02439024,41.02439024,22.87804878,7.195121951,4,16.19512195,21.3902439,92.07317073,-5.146341463
0,MIN,0.56097561,0.512195122,37.82926829,83.7804878,0.452195122,3.804878049,11.12195122,0.336170732,17.34146341,21.56097561,0.79895122,12.19512195,29.6097561,41.80487805,24.36585366,8.243902439,5.414634146,14.24390244,23.90243902,96.80487805,0.512195122
0,OKC,0.512195122,0.585365854,37.07317073,82.51219512,0.451243902,5.365853659,14.87804878,0.368097561,18.6097561,25.24390244,0.734512195,13.14634146,30.63414634,43.7804878,21.82926829,8.048780488,5.024390244,15.87804878,22.12195122,98.12195122,-0.365853659
0,PHX,0.585365854,0.463414634,35.85365854,82.41463415,0.437,4.536585366,14.53658537,0.310414634,17.7804878,24.02439024,0.735341463,11.56097561,31.2195122,42.7804878,23.41463415,9.585365854,5.195121951,16.24390244,24.53658537,94.02439024,2.341463415
0,POR,0.731707317,0.536585366,36.26829268,77.29268293,0.470780488,4.414634146,12.48780488,0.352756098,18.82926829,24.43902439,0.768292683,11.7804878,30.68292683,42.46341463,23.63414634,8.707317073,5.512195122,16.43902439,22.07317073,95.7804878,5.829268293
0,SAC,0.707317073,0.463414634,38.14634146,85.04878049,0.450585366,6.048780488,16.92682927,0.34497561,18.48780488,24.68292683,0.748585366,12.19512195,32.02439024,44.2195122,23.04878049,9.609756098,6.073170732,14.56097561,19.75609756,100.8292683,7.219512195
0,SAS,0.634146341,0.512195122,34.7804878,76.48780488,0.455560976,5.048780488,12.82926829,0.395243902,20.41463415,29.04878049,0.693731707,11.34146341,33.02439024,44.36585366,20.75609756,6.951219512,6.829268293,15.07317073,19.51219512,95.02439024,5.414634146
0,UTA,0.658536585,0.463414634,36.14634146,76.63414634,0.472804878,4.024390244,10.07317073,0.386536585,20.87804878,28.53658537,0.73102439,10.75609756,28.82926829,39.58536585,25.56097561,7.707317073,5.87804878,15.97560976,25.85365854,97.19512195,5
