,TEAM,WLPCT,MATCHUP,FGM,FGA,FGPCT,FG3M,FG3A,FG3PCT,FTM,FTA,FTPCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PM
0,ATL,0.341463415,0.463414634,34.09756098,77.80487805,0.438560976,4.902439024,14.53658537,0.342365854,18.7804878,24.19512195,0.769585366,12.14634146,30.87804878,43.02439024,19.68292683,7.292682927,5.487804878,17.65853659,22.73170732,91.87804878,-5.341463415
0,BOS,0.585365854,0.487804878,33.36585366,80.68292683,0.414073171,9.195121951,27.34146341,0.336,18.92682927,25.31707317,0.740585366,10.68292683,30.02439024,40.70731707,19.09756098,9.658536585,3.951219512,14.3902439,22.34146341,94.85365854,0.414634146
0,BKN,0.682926829,0.487804878,36.48780488,81.41463415,0.449804878,4.390243902,12.53658537,0.346439024,20.73170732,27.70731707,0.750634146,12.14634146,30.87804878,43.02439024,22.63414634,9.317073171,5.146341463,15.19512195,21.82926829,98.09756098,7.756097561
0,CHI,0.365853659,0.512195122,36.02439024,82.12195122,0.439829268,4.048780488,11.87804878,0.334560976,17.7804878,25.43902439,0.698780488,12.36585366,30.73170732,43.09756098,20.87804878,7.756097561,5.414634146,16.2195122,23.68292683,93.87804878,-4.43902439
0,CLE,0.195121951,0.56097561,33.29268293,81.36585366,0.409,3.634146341,10.56097561,0.305317073,19.43902439,26.82926829,0.72595122,13.41463415,30.2195122,43.63414634,19.17073171,8.073170732,6.073170732,17.87804878,22.85365854,89.65853659,-10.92682927
0,DET,0.658536585,0.512195122,32.26829268,74.58536585,0.433658537,6.536585366,17.51219512,0.377097561,18.92682927,24.82926829,0.75302439,10.34146341,29.63414634,39.97560976,20.31707317,6.756097561,5.87804878,14.3902439,23.24390244,90,3.536585366
0,IND,0.707317073,0.536585366,36.14634146,79.36585366,0.456292683,4.463414634,12.31707317,0.354170732,21.48780488,28.12195122,0.765560976,11.41463415,32.3902439,43.80487805,23.14634146,8.536585366,5.243902439,15.90243902,22.6097561,98.24390244,4.804878049
0,MIA,0.341463415,0.56097561,32.63414634,79.58536585,0.411853659,4.195121951,12.90243902,0.318121951,15.36585366,20.51219512,0.743878049,12.41463415,30.14634146,42.56097561,17.65853659,7.097560976,3.487804878,14.43902439,23.02439024,84.82926829,-4.365853659
0,MIL,0.487804878,0.536585366,36.34146341,80.07317073,0.454804878,6.853658537,17.90243902,0.380609756,19.14634146,24.58536585,0.779609756,10.04878049,30.41463415,40.46341463,21.85365854,7.56097561,4.317073171,13.48780488,22.75609756,98.68292683,0.048780488
0,NYK,0.414634146,0.414634146,35.19512195,81.46341463,0.433219512,6.609756098,17.36585366,0.379707317,15.51219512,19.6097561,0.795707317,11.12195122,29.36585366,40.48780488,21.12195122,6.512195122,3.170731707,14.26829268,23.63414634,92.51219512,-1.975609756
0,ORL,0.487804878,0.512195122,35.07317073,81.12195122,0.433902439,6.390243902,17.53658537,0.365463415,20.41463415,25.73170732,0.796268293,11.6097561,28.80487805,40.41463415,20.36585366,8.170731707,3.536585366,14.58536585,23.19512195,96.95121951,-1.780487805
0,PHI,0.512195122,0.463414634,35.65853659,81.19512195,0.440780488,3.170731707,10.34146341,0.31197561,19.87804878,26,0.758585366,12.56097561,29.43902439,42,21.36585366,10.24390244,3.463414634,15.68292683,22.82926829,94.36585366,0.292682927
0,TOR,0.243902439,0.512195122,32.97560976,79.82926829,0.413365854,5,15.24390244,0.325073171,16.95121951,23.65853659,0.715170732,12.56097561,28.36585366,40.92682927,17.53658537,7.585365854,4.43902439,14.95121951,22.31707317,87.90243902,-7.536585366
0,WAS,0.512195122,0.43902439,34.02439024,76.48780488,0.446439024,3.43902439,10.48780488,0.325268293,20.48780488,26.48780488,0.772195122,11.14634146,29.82926829,40.97560976,19.6097561,7.512195122,5.097560976,14.3902439,21.19512195,91.97560976,1.756097561
