,Unnamed: 0,TEAM,PLAYOFF,SEASON
253,13,DET,0,2017
245,5,IND,1,2017
250,10,MIA,0,2017
248,8,MIL,1,2017
247,7,NYK,0,2017
254,14,ORL,0,2017
252,12,PHI,0,2017
243,3,TOR,1,2017
241,1,WAS,1,2017
268,13,ATL,0,2018
260,5,BKN,0,2018
264,9,BOS,1,2018
258,3,CHA,0,2018
269,14,CHI,0,2018
256,1,CLE,1,2018
265,10,DET,0,2018
262,7,IND,1,2018
266,11,MIA,1,2018
261,6,MIL,1,2018
263,8,NYK,0,2018
267,12,ORL,0,2018
257,2,PHI,1,2018
255,0,TOR,1,2018
259,4,WAS,1,2018
274,4,ATL,0,2019
276,6,BKN,1,2019
275,5,BOS,1,2019
277,7,CHA,0,2019
282,12,CHI,0,2019
284,14,CLE,0,2019
280,10,DET,1,2019
278,8,IND,1,2019
281,11,MIA,0,2019
270,0,MIL,1,2019
283,13,NYK,0,2019
279,9,ORL,1,2019
271,1,PHI,1,2019
272,2,TOR,1,2019
273,3,WAS,0,2019
