,TEAM,PLAYOFF
0,MIN,1
1,MEM,1
2,PHX,1
3,UTA,1
4,SAS,0
5,DEN,1
6,LAL,0
7,GSW,1
8,SAC,0
9,HOU,0
10,NOP,1
11,LAC,0
12,DAL,1
13,POR,0
14,OKC,0
