,TEAM,PLAYOFF
0,MIL,1
1,CHA,0
2,ATL,1
3,BKN,1
4,BOS,1
5,CHI,1
6,IND,0
7,MIA,1
8,PHI,1
9,TOR,1
10,WAS,0
11,CLE,0
12,NYK,0
13,DET,0
14,ORL,0
