,TEAM,PLAYOFF
0,MIL,1
1,WAS,0
2,BOS,1
3,TOR,1
4,MIA,1
5,ATL,0
6,BKN,1
7,PHI,1
8,IND,1
9,ORL,1
10,DET,0
11,CLE,0
12,CHI,0
13,NYK,0
14,CHA,0
