,TEAM,PLAYOFF
0,SAC,1
1,LAL,1
2,DAL,1
3,OKC,0
4,MIN,1
5,HOU,0
6,UTA,1
7,DEN,0
8,SAS,1
9,POR,1
10,PHX,1
11,LAC,0
12,GSW,0
13,MEM,0
