,TEAM,PLAYOFF
0,MIA,1
1,BOS,1
2,WAS,1
3,TOR,0
4,ORL,0
5,PHI,1
6,NYK,0
7,MIL,0
8,CLE,0
9,CHI,1
10,CHA,0
11,DET,1
12,IND,1
13,ATL,0
14,BKN,1
