,TEAM,PLAYOFF
0,CLE,1
1,WAS,1
2,BOS,1
3,TOR,1
4,BKN,0
5,IND,1
6,CHA,0
7,NYK,0
8,MIL,1
9,ATL,1
10,MIA,0
11,CHI,1
12,PHI,0
13,DET,0
14,ORL,0
