,TEAM,PLAYOFF
0,TOR,1
1,CLE,1
2,PHI,1
3,CHA,0
4,WAS,1
5,BKN,0
6,MIL,1
7,IND,1
8,NYK,0
9,BOS,1
10,DET,0
11,MIA,1
12,ORL,0
13,ATL,0
14,CHI,0
