,TEAM,PLAYOFF
0,PHX,0
1,GSW,0
2,LAL,1
3,DEN,1
4,UTA,1
5,DAL,1
6,SAC,0
7,POR,1
8,HOU,1
9,MIN,0
10,OKC,0
11,SAS,1
12,NOP,1
13,LAC,0
14,MEM,0
