,TEAM,PLAYOFF
0,DEN,1
1,HOU,0
2,PHX,0
3,OKC,1
4,SAS,1
5,GSW,0
6,LAL,1
7,MIN,0
8,DAL,1
9,MEM,1
10,UTA,0
11,SAC,0
12,LAC,0
13,POR,1
14,NOP,1
