,TEAM,PLAYOFF
0,MIL,0
1,MIA,1
2,NYK,1
3,IND,1
4,ATL,1
5,CHI,1
6,ORL,1
7,WAS,0
8,PHI,1
9,BKN,0
10,CLE,0
11,BOS,1
12,DET,0
13,TOR,0
14,CHA,0
