,TEAM,PLAYOFF
0,MIA,1
1,NYK,1
2,MIL,1
3,ATL,1
4,TOR,0
5,BKN,1
6,BOS,1
7,CLE,0
8,DET,0
9,IND,1
10,ORL,0
11,CHA,0
12,PHI,0
13,CHI,1
14,WAS,0
