,TEAM,PLAYOFF
0,DAL,1
1,SAC,1
2,LAL,1
3,MIN,1
4,GSW,0
5,OKC,1
6,SAS,1
7,POR,1
8,UTA,1
9,LAC,0
10,PHX,0
11,HOU,0
12,DEN,0
13,MEM,0
