,TEAM,PLAYOFF
0,MIL,1
1,TOR,1
2,ORL,1
3,DET,0
4,PHI,1
5,BOS,0
6,WAS,0
7,IND,1
8,CLE,0
9,BKN,0
10,CHA,1
11,ATL,0
12,MIA,1
13,NYK,1
14,CHI,0
