,TEAM,PLAYOFF
0,GSW,1
1,HOU,1
2,NOP,1
3,DEN,0
4,MIN,1
5,LAC,0
6,LAL,0
7,OKC,1
8,POR,1
9,UTA,1
10,PHX,0
11,SAS,1
12,DAL,0
13,MEM,0
14,SAC,0
