,TEAM,PLAYOFF
0,NYK,0
1,IND,0
2,CHI,1
3,ORL,1
4,BOS,1
5,CLE,1
6,MIL,0
7,TOR,0
8,MIA,1
9,ATL,1
10,BKN,0
11,PHI,1
12,WAS,0
13,DET,1
14,CHA,0
