,TEAM,PLAYOFF
0,MIL,1
1,BOS,1
2,ORL,0
3,CLE,0
4,ATL,0
5,NYK,1
6,WAS,0
7,IND,1
8,BKN,1
9,MIA,1
10,DET,1
11,CHI,0
12,PHI,0
13,TOR,0
14,NOP,1
