,TEAM,PLAYOFF
0,MIL,1
1,ORL,1
2,PHI,1
3,IND,1
4,NYK,0
5,BKN,1
6,CHI,0
7,ATL,0
8,BOS,1
9,WAS,0
10,DET,1
11,CLE,0
12,TOR,0
13,MIA,0
14,NOP,1
