,TEAM,PLAYOFF
0,DEN,1
1,HOU,1
2,OKC,1
3,SAS,1
4,LAL,1
5,GSW,1
6,LAC,1
7,DAL,0
8,SAC,0
9,UTA,0
10,POR,0
11,MIN,0
12,PHX,0
13,NOP,0
14,MEM,1
