,TEAM,PLAYOFF
0,PHX,1
1,OKC,0
2,DEN,1
3,LAL,1
4,DAL,1
5,SAC,1
6,GSW,0
7,LAC,1
8,SAS,1
9,NOP,0
10,UTA,0
11,MEM,1
12,MIN,0
13,HOU,0
14,POR,0
