,TEAM,PLAYOFF
0,WAS,1
1,MIL,0
2,TOR,1
3,CHI,1
4,BKN,1
5,NYK,0
6,CHA,0
7,CLE,1
8,DET,1
9,BOS,0
10,IND,0
11,PHI,0
12,ORL,1
13,MIA,1
14,ATL,0
