,TEAM,PLAYOFF
0,GSW,1
1,OKC,1
2,SAC,0
3,HOU,1
4,POR,1
5,LAC,1
6,SAS,1
7,NOP,0
8,MIN,0
9,DAL,1
10,DEN,0
11,PHX,0
12,MEM,1
13,UTA,0
14,LAL,0
