,TEAM,PLAYOFF
0,GSW,1
1,HOU,1
2,DEN,0
3,LAC,1
4,POR,1
5,PHX,0
6,OKC,1
7,MIN,0
8,SAS,1
9,LAL,0
10,NOP,0
11,SAC,0
12,UTA,1
13,MEM,1
14,DAL,0
