,TEAM,PLAYOFF
0,NYK,1
1,MIA,1
2,IND,1
3,ORL,1
4,TOR,0
5,PHI,1
6,CHI,1
7,WAS,0
8,DET,0
9,BOS,1
10,CLE,0
11,ATL,1
12,BKN,0
13,CHA,0
14,MIL,0
