,TEAM,PLAYOFF
0,PHX,1
1,GSW,1
2,DEN,1
3,LAL,1
4,MEM,0
5,UTA,1
6,SAC,0
7,DAL,1
8,OKC,0
9,SAS,1
10,HOU,1
11,MIN,0
12,LAC,0
13,NOP,0
14,POR,0
